Date,paid_search_impressions_adst.5,kwai_impressions_lag2_adst.3,indicacao_clicks_adst.3,infleux_clicks_adst.3,programmaticclicks_adst.4,influencer_clicks_adst.3,FB: Level Achieved - Tier 1 Impressions_adst.2, FB: Level Achieved - Tier 2 Impressions_lag3_adst.5,paid_social_others_adst.3, GA App: Will And Cid Pequena Baixo Risco Clicks_lag3_adst.5,digital_tactic_others_adst.2,total_approved_accounts_revenue
6/16/2023,0.352906632,0.385902135,0.373317021,0.272444425,0.194974755,0.227731617,0.834776863,0.90155928,0.693292288,0.621147782,0.142105917,4560830
6/17/2023,0.393205864,0.344008076,0.216461682,0.550900343,0.17906003,0.171391947,0.922608037,0.895614518,0.72919647,0.58638632,0.087639472,4890110
6/18/2023,0.383903222,0.316274006,0.143061098,0.31012384,0.156266887,0.176147963,0.818590752,0.839507067,0.752776399,0.628397964,0.077873446,3388060
6/19/2023,0.370000872,0.310326796,0.273282798,0.323154805,0.112289797,0.475260635,0.774392236,0.869149471,0.652610559,0.592155564,0.110865402,4639400
6/20/2023,0.321514462,0.332170694,0.306132128,0.362196227,0.093413361,0.297806454,0.77985182,0.91171421,0.505765301,0.645368941,0.112793702,4969720
6/21/2023,0.356679229,0.576760417,0.289458537,0.470036479,0.098957452,0.165673499,0.762410464,0.857932417,0.471596749,0.586753845,0.109582856,4489250
6/22/2023,0.341222221,0.663898346,0.226262602,0.735975616,0.109869477,0.089789751,0.69253527,0.832948005,0.364728219,0.57985701,0.107867102,5006920
6/23/2023,0.310397609,0.5478782,0.2154968,0.337701984,0.114547458,0.120064425,0.809592915,0.826800786,0.342186712,0.570646597,0.078912937,3069350
6/24/2023,0.294230117,0.404942999,0.141770562,0.17432207,0.113215904,0.105941915,0.705549851,0.817220246,0.335570612,0.578461546,0.083535869,2776800
6/25/2023,0.262232145,0.287991306,0.112039279,0.098499469,0.111029163,0.104357152,0.734291168,0.763868015,0.496270302,0.524098508,0.104160723,2860440
6/26/2023,0.266182658,0.228323926,0.339399075,0.147248139,0.156354002,0.139683587,0.632090998,0.819611168,0.748091129,0.521531601,0.131958222,3928490
6/27/2023,0.262368155,0.327996076,0.289454251,0.398789204,0.209136064,0.184536387,0.680869084,0.77255342,0.815707714,0.568328954,0.136766213,5851320
6/28/2023,0.254671143,0.535722406,0.227631203,0.463639053,0.193085043,0.197771228,0.664533794,0.780172833,0.430410589,0.570040485,0.05023071,6083570
6/29/2023,0.238110338,0.525556597,0.171491425,0.347455539,0.165526758,0.327269203,0.708224184,0.715337502,0.689783384,0.509943887,0.007211272,4328260
6/30/2023,0.182316144,0.428888871,0.257865216,0.645150566,0.179798808,0.259376001,0.895021659,0.710670091,0.47494224,0.489474576,0.015784729,5252540
7/1/2023,0.17852207,0.414244913,0.189940087,0.463858421,0.198006026,0.21558213,1,0.718735984,0.464689765,0.465206671,0,4626340
7/2/2023,0.15743072,0.349414924,0.133234196,0.18033159,0.205703168,0.134818226,0.879507362,0.726730637,0.445672785,0.436397447,1,3416990
7/3/2023,0.233479716,0.387094202,0.188352254,0.218929629,0.228419078,0.204955696,0.793992719,0.814430966,0.476787981,0.566341467,0.838846322,4925290
7/4/2023,0.361182562,0.538847447,0.227780592,0.172027739,0.241725085,0.333623527,0.824465144,0.922515467,0.50779685,0.659718525,0.558671348,4394760
7/5/2023,0.426859019,0.889516963,0.325885636,0.108926519,0.290020528,0.34769297,0.833317497,0.923979604,0.524713926,0.665157002,0.658145004,4497600
7/6/2023,0.460704161,0.610700415,0.273887899,0.190545841,0.281170575,0.258431158,0.839705737,0.891575813,0.501333531,0.714563015,0.864038174,5114750
7/7/2023,0.434518194,0.531584192,0.249120872,0.282113895,0.292911818,0.156954899,0.911795655,0.899742125,0.444916458,0.683119749,0.703812438,4910810
7/8/2023,0.375044197,0.519496516,0.191163005,0.43568543,0.317114117,0.164744876,0.952370099,0.906218986,0.494501831,0.616456225,0.81664746,4471260
7/9/2023,0.348390876,0.383364582,0.14814295,0.560830198,0.389252115,0.141887965,0.895083852,0.90324356,0.805813774,0.605674581,0.654182251,5706060
7/10/2023,0.429651273,0.355191456,0.277915944,0.482000609,0.426143532,0.182987709,0.868543139,0.944816595,0.990014468,0.683693303,0.68970076,5299330
7/11/2023,0.487084362,0.391821687,1,0.363082268,0.419859417,0.273551334,0.841016909,1,1,0.634274607,0.659712132,5532390
7/12/2023,0.484334819,0.552903866,0.511739273,0.285546466,0.43049977,0.283261488,0.853271715,0.996828928,0.995277352,0.646785897,0.657686668,5067480
7/13/2023,0.460304465,0.530282673,0.285675883,0.278412518,0.440231612,0.208161832,0.862314844,0.966224928,0.922542253,0.670593061,0.58486833,4393760
7/14/2023,0.442814189,0.484581772,0.201523597,0.210568657,0.474299483,0.091707292,0.879531877,0.930785407,0.934962919,0.653792872,0.51995357,3983150
7/15/2023,0.388569089,0.48321222,0.128779711,0.333553211,0.488956073,0.092793793,0.940362557,0.928789223,0.904007741,0.689550382,0.514217311,4220310
7/16/2023,0.355719711,0.395814127,0.0962082,0.335576555,0.474404222,0.200746334,0.900999593,0.917837746,0.591569969,0.666557464,0.570345768,3832400
7/17/2023,0.440112365,0.557899858,0.119603821,0.674811533,0.496650424,0.528386972,0.830008421,0.923987882,0.474515946,0.682370744,0.61458417,5691990
7/18/2023,0.492000247,0.702335227,0.177361017,0.610441375,0.502693397,0.613419215,0.908218398,0.983656056,0.470943481,0.727152833,0.661436726,5347820
7/19/2023,0.521594254,0.91322966,0.191579587,0.285354192,0.517967721,0.444007629,0.876350063,0.976559848,0.436729217,0.756587055,0.644611786,4690310
7/20/2023,0.552690691,0.966291209,0.159147989,0.234760473,0.456599546,0.362686269,0.847159487,0.937232892,0.366677784,0.748807155,0.648547169,4576570
7/21/2023,0.510781834,1,0.287513667,0.169389881,0.368602625,0.21254134,0.847508199,0.969843797,0.350047265,0.836246176,0.531937829,4357960
7/22/2023,0.437782498,0.85614335,0.175019662,0.170414062,0.280500785,0.15202792,0.877623478,0.96686361,0.378013703,0.866171413,0.455795625,3959970
7/23/2023,0.385801515,0.787828815,0.130760212,0.640739304,0.229152501,0.092989049,0.804757498,0.928739307,0.352461342,0.933025191,0.532680697,5284400
7/24/2023,0.466858651,0.647360071,0.15157149,0.747545766,0.463577062,0.321028453,0.737197285,0.922104407,0.38592268,0.924093441,0.517943678,6253530
7/25/2023,0.495304242,0.641239832,0.25086182,0.3547941,0.446056478,0.232530871,0.729602609,0.944564234,0.398024469,0.939323237,0.581129053,4938210
7/26/2023,0.514184019,0.836025499,0.461921864,0.44249851,0.432449995,0.346316063,0.703575255,0.899461448,0.391467884,0.875683217,0.691569636,5687460
7/27/2023,0.499520884,0.815706947,0.324709481,0.311400193,0.308779146,0.32785382,0.662767517,0.845634808,0.373666571,0.832777338,0.627234235,5138270
7/28/2023,0.46940787,0.836950237,0.274457092,0.268273098,0.178579013,0.377564937,0.699572762,0.823602265,0.337510622,0.873272498,0.598800186,4621140
7/29/2023,0.432450966,0.838194105,0.17911126,0.244921917,0.11703136,0.296564638,0.778463466,0.801245547,0.367281566,0.934000095,0.621080241,3893270
7/30/2023,0.373129533,0.758431715,0.128115126,0.288646598,0.092310662,0.267844564,0.728643278,0.758506745,0.360399364,0.891416222,0.600253348,4020490
7/31/2023,0.435475655,0.601626587,0.197617565,0.328503266,0.07873937,0.467188751,0.689722857,0.768598397,0.39915815,0.931096563,0.604945038,4709550
8/1/2023,0.466334055,0.537868361,0.221893015,0.635043022,0.087715788,0.349750682,0.668962761,0.80448044,0.376367992,1,0.599817626,5602170
8/2/2023,0.486923694,0.659391088,0.210418734,0.875674906,0.103060071,0.335956179,0.686054528,0.803922604,0.416612752,0.97942067,0.600026765,5992910
8/3/2023,0.521258603,0.664169233,0.203841516,0.537524289,0.149189071,0.472815292,0.687814238,0.749742224,0.371108015,0.902104648,0.594324918,4941800
8/4/2023,0.509099665,0.593054536,0.197995785,0.378707604,0.17028728,0.308785806,0.691165238,0.708278218,0.292799446,0.858959184,0.559742405,4659060
8/5/2023,0.432473229,0.522306013,0.145635275,0.16471386,0.188338157,0.182006255,0.733198697,0.700114326,0.282085115,0.791303757,0.507574334,3260640
8/6/2023,0.377105392,0.428778729,0.107139577,0.297739481,0.162120825,0.129165447,0.7401609,0.692854442,0.354436134,0.744737252,0.544056344,4005470
8/7/2023,0.394292113,0.369945827,0.160291689,0.469505377,0.155055552,0.256520659,0.721770651,0.686117224,0.37919566,0.753948208,0.596013842,5034960
8/8/2023,0.439952524,0.41375982,0.184693741,0.246975035,0.113585962,0.682138749,0.716788233,0.714030582,0.423877602,0.809508852,0.538286434,4235970
8/9/2023,0.431190779,0.354757635,0.17847355,0.184698488,0.085379624,0.42771663,0.609904296,0.646665454,0.475388075,0.721385421,0.562598659,4131270
8/10/2023,0.443361067,0.545217669,0.18069081,0.244533932,0.071104496,0.280007265,0.508339405,0.621882831,0.355479916,0.656911104,0.541104616,4946040
8/11/2023,0.436922709,0.572904388,0.36968912,0.123473342,0.08532556,0.183759654,0.554156964,0.564581279,0.345470876,0.647403295,0.525425816,3309470
8/12/2023,0.37523954,0.556058913,0.337556703,0.12264278,0.09407094,0.106486554,0.654931081,0.387009456,0.389811676,0.670344147,0.46141784,3177130
8/13/2023,0.323882067,0.493780565,0.19113902,0.221495357,0.103159497,0.053911736,0.590049974,0.298431129,0.448080108,0.645310866,0.52033166,2953700
8/14/2023,0.369505484,0.435787028,0.200929096,0.236021423,0.079722913,0.105986033,0.523195128,0.267607138,0.400097899,0.636392154,0.558739309,3873510
8/15/2023,0.384702399,0.498950474,0.258556227,0.37135308,0.050421188,0.137520261,0.528398249,0.271696705,0.406792704,0.681885589,0.568621686,4412810
8/16/2023,0.381161862,0.502390207,0.248920816,0.36336411,0.032857436,0.208197297,0.541821894,0.25256929,0.438743851,0.706949054,0.610320771,4074580
8/17/2023,0.408403326,0.625997661,0.30461921,0.242921028,0.024715836,0.22100244,0.530632289,0.22542927,0.423298943,0.679591574,0.573784775,3587780
