Date,paid_search_impressions_adst.5,kwai_impressions_lag2_adst.3,indicacao_clicks_adst.3,infleux_clicks_adst.3,programmaticclicks_adst.4,influencer_clicks_adst.3,FB: Level Achieved - Tier 1 Impressions_adst.2, FB: Level Achieved - Tier 2 Impressions_lag3_adst.5,paid_social_others_adst.3, GA App: Will And Cid Pequena Baixo Risco Clicks_lag3_adst.5,digital_tactic_others_adst.2,Total Approved Accounts - Revenue
2023-10-06,0.19369183102565352,0.1808823376203835,0.5820893816347099,0.14034562176973975,0.0018743408195267103,0.652523099676751,0.030572215632767824,0.20531083921211574,0.03644247489804153,0.19994648961877123,0.1965057652772218,2378150.0
2023-10-07,0.153310215773112,0.176069736766292,0.6393736969022553,0.28429909379572277,0.001804379115695511,0.5825923117258177,0.04845803633117196,0.1879641868582612,0.03190076831655342,0.19245063163808807,0.17409975902929226,3080590.0
2023-10-08,0.12361664985698002,0.15110299958067935,0.5293702432321218,0.24533386380704272,0.002964130155112308,0.5032692973372765,0.024943134835351266,0.1821117817341361,0.0,0.18517115647066876,0.19468674558279686,2484160.0
2023-10-09,0.09448426337706979,0.13102757546311097,0.7530122861400647,0.26123324955661115,0.002355134843860106,0.47306341740671953,0.0,0.17976083762921122,0.03410904434840123,0.17118239540939487,0.24083495884600287,2722910.0
2023-10-10,0.07771544404343823,0.13382204824343835,0.4827702011362387,0.1567483767973465,0.0018342628399670284,0.6768238436439938,0.009264012495844215,0.1868456414651037,0.04023358072514688,0.160039111945161,0.23997291133380244,2528280.0
2023-10-11,0.06580683262674018,0.18174836023804788,0.28918242572261244,0.11232807406534716,0.00216742652753907,0.5843575559384091,0.05080888394633823,0.17519362105001943,0.04714928482812247,0.16490942911632084,0.2104916569909182,2463820.0
2023-10-12,0.05934906952555083,0.1938297756753349,0.163428401662056,0.07939839220831942,0.0017214221806444723,0.4202611884600208,0.041980129175564845,0.1481599652895485,0.042039430180204146,0.178370712138228,0.22016237499363955,2044540.0
2023-10-13,0.05121147839476298,0.21640424507832243,0.13360538923989548,0.14821130200578694,0.0014972245185834393,0.4850678443137877,0.02959972931045257,0.14369390135878501,0.041770470418657474,0.1818021460363853,0.20330879754261705,2576940.0
2023-10-14,0.056771305467440275,0.197596587465963,0.1062440416385523,0.17271346685641836,0.001711140751749132,0.5471626787768472,0.049749551041159246,0.16436764725589606,0.04915145821344899,0.17342773105095619,0.1812577194068547,2441800.0
2023-10-15,0.05036312158444298,0.17075383238402048,0.10011681198776437,0.18846565532764833,0.00217750019048191,0.4601535310644058,0.04692901785466819,0.16016644390809884,0.017950628346743214,0.17387401835448268,0.23949113368592634,2190130.0
2023-10-16,0.0699404766689691,0.12510369253322123,0.12912744677960653,0.6256494780631043,0.0012778202767986997,0.3489661104959175,0.03771936069443549,0.15366348170156655,0.08088843173784002,0.1680696358243163,0.329241056913254,4509620.0
2023-10-17,0.08860259076004291,0.15392961249848447,0.11883662572409032,0.34984586658044386,0.0004191480209217416,0.5584879601798561,0.031427874739129974,0.16085283733988914,0.09156844858609794,0.16059369396523582,0.3251288891238796,2816530.0
2023-10-18,0.08585067037741198,0.2024654947214142,0.11677679473091632,0.38756152364116825,0.0005049544863794391,0.5495197883764775,0.05502220016761522,0.15639737194110379,0.08020756021657283,0.16859213965425462,0.31732815917542284,3728560.0
2023-10-19,0.08453764236020157,0.2146966901336264,0.1059637241461158,0.7084933087498994,0.0012898974479636665,0.5779902182690239,0.04003647579376707,0.15186119169160261,0.0930501422104262,0.19352838626286764,0.2971413297431781,4292380.0
2023-10-20,0.0680851526512311,0.20232962375289418,0.09186608211749342,0.7225175288592198,0.0015855604445975413,0.5242095843696679,0.048354755512555525,0.15193352079117922,0.07381844560432965,0.19575369800471001,0.274155205196149,4493840.0
2023-10-21,0.05331396168982165,0.17369279939589402,0.06542881213212859,0.6058952306737073,0.002691997344163556,0.5094013891544805,0.09857195324124807,0.16351030133991926,0.10508847172189689,0.19896403919885783,0.24856941191199283,3204000.0
2023-10-22,0.045047315771646335,0.13232983450634966,0.0479347654333513,0.4192820042598316,0.0028994877581407213,0.5089369154537832,0.10328465613333723,0.1597868868554319,0.1478549221315156,0.19503291372133996,0.17431343978539587,2969510.0
2023-10-23,0.04594856674096194,0.1421596176765394,0.0669757034301113,0.22205854142204606,0.004886772703477331,0.3850380442457471,0.11367141241001835,0.16478194533910265,0.17638204968346613,0.20005742264510515,0.2306945477470168,2287750.0
2023-10-24,0.04318965134626267,0.14960850402600728,0.038177367553244454,0.0760842697238601,0.003513368358202212,0.4731749060948859,0.09365294946737468,0.1947670056510528,0.19432096676451047,0.1981419678962531,0.2155606014611386,1952480.0
2023-10-25,0.039418771032921476,0.19197479454221672,0.0352545110259624,0.027228521975634783,0.004046163974147523,0.6065795576556064,0.05826878332183322,0.19558102500623595,0.14412981252189896,0.1677369870603294,0.2209077678726612,1869210.0
2023-10-26,0.042127379585918875,0.19533477134226784,0.0243932846421563,0.008106583416635836,0.0032567999469124125,0.9648397422325202,0.06224303771674938,0.19707298649807464,0.11137707700275457,0.1614297445319994,0.2044777809755064,1710220.0
