const,paid_search_impressions,paid_social_impressions_adst.2,digital_app_clicks_adst.4,kwai_clicks_adst.3,indicacao_clicks_adst.2,infleux_clicks_adst.2,influencer_clicks,total_approved_accounts_revenue
1.0,0.6413268080478521,0.28801571160447154,0.17492846137778473,0.05424195848854159,0.2449830247321411,0.5603648488430333,0.06128674431503049,5066400
1.0,0.654594888526373,0.41401162618096965,0.3921438028766514,0.06318022268711601,0.2731372545279501,0.5828362102018179,0.1300610094287299,5480000
1.0,0.5822729744426318,0.4123157024080819,0.3423508625780356,0.03889154571470521,0.3027100661725442,0.18925577056791626,0.040210759844703264,4133100
1.0,0.5323545405111474,0.35393498059468986,0.2857512556960451,0.039203195458815204,0.20608996728564485,0.13364243479890747,0.01747088186356073,3573910
1.0,0.38042414355628057,0.33485494322569836,0.34766793600475876,0.04653080969539741,0.11029297198181065,0.11489423120461967,0.036051026067665,2776120
1.0,0.38118542686242524,0.437372312103273,0.42287396196520377,0.0509624462376074,0.056348424138577,0.0895253353342061,0.011647254575707144,2611960
1.0,0.8179445350734095,0.5626348378032728,0.514579295415072,0.09317199399114312,0.08757345208375344,0.16439757165361785,0.17859123682750971,3951760
1.0,0.9999999999999999,0.551264641642601,0.5080808749567365,0.11702589524154605,0.15202923008844801,0.16878853417803558,0.3749306711037161,4150900
1.0,0.8912452419793366,0.5723580530596046,0.5056514452349098,0.09262382700138516,0.1570665513158456,0.11462356032425043,0.02384914032168607,3788540
1.0,0.8863512778684067,0.5980358545584896,0.5063062271920364,0.10164066390478663,0.18212468483670258,0.15281833246622703,0.11758180809761508,3652210
1.0,0.6762370853724851,0.4561307747555662,0.476942201518749,0.10565659565674951,0.15313926378550993,0.21484011617125606,0.03494176372712146,3777590
1.0,0.5670473083197389,0.49427101699136755,0.47824948355474717,0.09096087803386949,0.11144281899586622,0.23314227808331398,0.0,3437270
1.0,0.5919521479064709,0.5004533494763526,0.4267469502247835,0.08859131047291599,0.0898688679621083,0.15200819256167292,0.07154742096505824,3020020
1.0,0.6040239260467646,0.663802959047853,0.43147485996510404,0.11691401973068921,0.19659479488438744,0.26248468378698686,0.25263449805879096,3643240
1.0,0.5260467645459489,0.7760002987062463,0.4420086084750414,0.15643500862365972,0.3677878790083135,0.4857295120760456,0.20216306156405994,5146270
1.0,0.6377379010331702,0.7298371649579403,0.45058386172437526,0.11872059509739286,0.36370848037741266,0.9518092217739583,0.2823072656683306,5832220
1.0,0.6887438825448613,0.7545840195898518,0.4701662091750106,0.07584803242423102,0.22641524347502293,0.8236494183896792,0.1458679977814753,5217860
1.0,0.38118542686242524,0.6841763302243108,0.45999376354316224,0.0933307238292842,0.1872437842779487,0.4271341604454817,0.1084303937881309,4123930
1.0,0.37041870581837955,0.6541517745625831,0.482168139131793,0.10311506249776758,0.11168715590266884,0.1362518712018746,0.3430393788130893,2668440
1.0,0.432952691680261,0.7517045469527404,0.511058258594365,0.12163527886062869,0.07660154557518073,0.07269321384889556,0.32307265668330565,2630380
1.0,0.5493202827623709,0.6508334875343142,0.5418173525297397,0.14612628693865606,0.10964169640449256,0.016480646385064284,0.3713255684969496,3057510
1.0,0.3985861881457314,0.7129477270745329,0.48770742088522645,0.14194269448340366,0.13880572148398573,0.0032933045000032475,0.26511369938990575,3360270
1.0,0.40445894507884717,0.7264775111917811,0.45286489438367317,0.09390859689171407,0.11075018233446551,0.0006558361229910399,0.1808097615085968,3158130
1.0,0.5005981511691137,0.7678821726625915,0.49276600685016114,0.09794779942006424,0.10535648168445191,0.11604011462835778,0.2498613422074321,3322330
1.0,0.6002175095160414,0.7328623650084684,0.5536630364439498,0.04587468805507429,0.26396331518396077,0.4465807705810579,0.29755962285080423,4244170
1.0,0.42718868950516586,0.7332243701971464,0.5394053559808121,0.2357454391673929,0.14529326519466632,0.34014191766451407,0.07820299500831947,3711670
